premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Инженер (связь) в государственную компанию	False	Волгоград	48.741539	44.531204	Волгоград, улица Рокоссовского, 98	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Техническое обслуживание	False	Российская телевизионная и радиовещательная сеть, ФГУП	35000.0	40000.0	False	RUR
False	Инженер технической поддержки / IT Helpdesk Engineer	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Active Directory_Helpdesk_DHCP_Windows 7_TCP/IP_ITIL_Английский язык_Настройка ПК_LAN_Wifi networks_Офисная техника_Информационные технологии_Mac Os_Windows Os_Техническая поддержка_Windows 10_Техническая документация_Настройка сетевых подключений_Настройка ПО_Windows Server_DNS_Customer Service_Networking_ITSM_MS Outlook_RDP_Time management	False	Диджитал Саппорт	60000.0	75000.0	False	RUR
False	Аналитик, Отдел контрактной службы	False	Магнитогорск	53.407147	58.982366	Магнитогорск, проспект Ленина, 72	Нет опыта	Полный день	Полная занятость	Заключение договоров_Деловая переписка_Государственные закупки_Закупка товаров и услуг_Закупки	False	Администрация города Магнитогорска	25000.0		False	RUR
False	Специалист второй линии технической поддержки 1С-систем	False	Владивосток	43.135453	131.93668	Владивосток, Посадская улица, 20	Нет опыта	Полный день	Полная занятость	Работа с базами данных_Базы данных_Cистемы управления базами данных_Умение принимать решения_MS Access	False	Деловые Линии	65250.0	65250.0	True	RUR
False	Инженер по внедрению	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость		False	Антарес Вижн Рус		100000.0	False	RUR
False	Инженер технической поддержки VoIP	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	VoIP_SIP_Linux_Asterisk_Продвинутый пользователь ПК	False	Мультиком	68000.0		True	RUR
False	Руководитель отдела предпродажной поддержки (Pre sale, вычислительная техника и телеком решения)	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	CCNP_JNCIP_HCIP_Еnterpris_Carrier_Ethernet_IP_Routing_pre-sale_Умение вести переговоры_Навыки публичных выступлений_Выявление потребностей_Cisco_CCNA_Huawei_Juniper_R&S_HCIP Storage_Storage	False	БУЛАТ	180000.0		False	RUR
False	Инженер - механик АТП	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Знание устройства автомобиля_Ремонтные работы_Техническое обслуживание	False	МОТУС ТРАК	65000.0	75000.0	False	RUR
False	Эксперт Отдела контроля и качества	False	Тула	54.200486	37.592222	Тула, улица Фрунзе, 3	Нет опыта	Полный день	Полная занятость	Работа в команде_Грамотная речь_Обучение и развитие_Обучение персонала_Способность обучать других	False	АКАДО Телеком	28500.0		True	RUR
False	Главный специалист отдела информационных технологий (1C ERP)	False	Якутск	62.052031	129.70698	Якутск, улица Петра Алексеева, 76	От 3 до 6 лет	Полный день	Полная занятость	SQL_Базы данных_Управление временем_1С: Управление предприятием_1С УАТ	False	ЯТЭК	120000.0		False	RUR
