premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Механик холодильного оборудования	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость		False	Мясницкий ряд	100000		False	RUR
False	Администратор проектов	False	Пермь	58.015261	56.286666	Пермь, улица Дружбы, 15А	От 3 до 6 лет	Полный день	Полная занятость	Управление проектами_MS Project_Деловая переписка_Клиентоориентированность_Информационные технологии_Работа в команде_Протоколирование_Деловая корреспонденция_Ведение переписки_Организация совещаний_Администрирование_Административная поддержка руководителя_Грамотность_Проектный менеджмент_Документооборот_Работа с большим объемом информации_Работа с жалобами клиентов_1С: Управление предприятием_Деловая коммуникация_Высокая скорость печати	False	Oxtron	40000	45000	False	RUR
False	Веб-дизайнер	False	Санкт-Петербург	59.929033	30.348755	Санкт-Петербург, Колокольная улица, 2/18	От 1 года до 3 лет	Полный день	Полная занятость	Figma_Прототипирование_Проектирование пользовательских интерфейсов_Веб-дизайн	False	Stik	70000	100000	False	RUR
False	Программист 1С 8 (удаленная работа)	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	1С программирование_SQL_Разработка технических заданий_C#_MS SQL	False	Воздухоплаватели		200000	True	RUR
False	Программист 1С	False	Бийск	52.539308	85.213829	Бийск	От 1 года до 3 лет	Полный день	Полная занятость		False	ЭВАЛАР	80000		False	RUR
False	"Преподаватель по дисциплине ""ТО и ремонт электрооборудования и электронных систем автомобилей"""	False	Екатеринбург	56.842428	60.636605	Екатеринбург, проспект Ленина, 91	От 1 года до 3 лет	Полный день	Полная занятость	Творческое мышление_Высшее образование_Работа в условиях многозадачности_Образованность_Умение легко находить контакт с людьми	False	ГАПОУ СО Екатеринбургский Автомобильно-Дорожный Колледж	25000		False	RUR
False	Associate Professor - Data Science&AI	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Английский язык_Information Technology_Fluent English_Проведение презентаций_Research_Public Speaking_English_Machine Learning_Data Mining_Writing Articles	False	Университет Иннополис	280000		True	RUR
False	Оператор сервис бюро (Официальный дилер ГАЗ)	False	Ростов-на-Дону	47.205741	39.726862	Ростов-на-Дону, Левобережная улица, 2П	От 1 года до 3 лет	Полный день	Полная занятость	Грамотная речь_Пользователь ПК_Работа в команде_Грамотность_Деловое общение	False	Авторитэйл М	35000	35000	True	RUR
False	Системный администратор	False	Люберцы	55.681874	37.891702	Люберцы, Красная улица, 4	От 1 года до 3 лет	Полный день	Полная занятость	Работа с оргтехникой_Администрирование_Материальная ответственность	False	Московский областной филиал ПАО САК ЭНЕРГОГАРАНТ		50000	True	RUR
False	Разработчик 1С	False	Санкт-Петербург	59.9551961914	30.3623604011	Санкт-Петербург, улица Михайлова, 11	Нет опыта	Полный день	Полная занятость	1С: Управление Торговлей_1С: Предприятие 8_1С: Бухгалтерия_1С программирование_1С: Зарплата и управление персоналом	False	ЕИРЦ Петроэлектросбыт	99800	112200	True	RUR
False	Оператор 1C (на приход)	False	Москва	55.780623	37.509999	Москва, улица Зорге, 5с3	От 1 года до 3 лет	Полный день	Полная занятость		False	Esterk Lux Parfum	70000	70000	True	RUR
False	Технический директор / CTO (Python/ReactJS)	False	Москва	55.7315351891	37.6248877816	Москва, Пятницкая улица, 74с1	Более 6 лет	Полный день	Полная занятость	Python_Управление персоналом_React_GraphQL_IT стратегия_Django Framework_PostgreSQL_CI/CD_Highload_Warehouse Management_Architecture	False	Российское общество Знание	350000		False	RUR
False	Ведущий инженер-программист 1С	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	1С программирование_SQL_1С: Предприятие 8_Обновление конфигурации 1С_XML	False	Крупная строительная компания	180000	200000	False	RUR
False	Младший инженер электросвязи	False	Екатеринбург	56.855118	60.657374	Екатеринбург, микрорайон Втузгородок, улица Кулибина, 2	От 1 года до 3 лет	Полный день	Полная занятость	Ответственность_Cisco_Ethernet_TCP/IP_SSH	False	К Телеком,ООО	45000	60000	False	RUR
False	Токарь	False	посёлок городского типа Таврическое	54.581197	73.64377	посёлок городского типа Таврическое, Пролетарская улица	От 1 года до 3 лет	Полный день	Полная занятость		False	ДиборЭкспорт	35000		False	RUR
False	Эксперт-техник	False	Киров	58.595882	49.659462	Киров, улица Маклина, 31	Нет опыта	Полный день	Полная занятость	Умение работать в команде_Поиск информации в интернет_Техническая экспертиза_Мобильность_Навыки составления отчетности	False	ГК Автоспас	30000	50000	True	RUR
False	Оператор станков с ПУ (г. Казань)	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Массовое производство_Металлообработка_Умение эффективно планировать свое время_Организация рабочего процесса_Работа в условиях многозадачности	False	Круг	97000		False	RUR
False	Web-дизайнер	False	Омск	54.993401	73.355914	Омск, улица Фрунзе, 1к4	От 1 года до 3 лет	Полный день	Полная занятость	Adobe Photoshop_Adobe Illustrator_Figma_CSS3_HTML5	False	Технология и Сервис	30000		False	RUR
