premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Слесарь/Водитель (Категории B,C,D)	False	Красногорск	55.810415	37.336373	Красногорск, Вокзальная улица, 18Б	От 1 года до 3 лет	Полный день	Полная занятость	Водительское удостоверение категории B_Водительское удостоверение категории BC_Мобильность_Автомобильные перевозки_Водительское удостоверение категории BCE	False	ММК МОСИНТРАСТ		125000	True	RUR
False	Монтажник ОПС/Техник ОПС (Слаботочные системы)	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	Системы охранно-тревожной сигнализации_Системы видеонаблюдения_Умение работать в коллективе_Пожарная сигнализация_Системы безопасности_слаботочные системы_Контроль доступа_Электрические системы и слаботочные системы_Монтаж инженерных систем_Монтаж оборудования_монтаж	False	Дельта системы безопасности	60000		False	RUR
False	Специалист по запасным частям	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость		False	Агентство КИТ Консалт	60000		False	RUR
False	Менеджер ПТО	False	Ульяновск	54.297539	48.306006	Ульяновск, улица Доватора, 1Б	От 1 года до 3 лет	Полный день	Полная занятость	Умение работать в команде_Обучение персонала_Работа с большим объемом информации_оформление документации_Навыки составления отчетности_Умение работать с большим количеством документов_Оформление документов_Опытный пользователь ПК, знание MS Office_Навыки работы в режиме многозадачности	False	Приор	50000		False	RUR
False	Менеджер проектов-комплектатор	False	Москва	55.721731	37.576951	Москва, 3-я Фрунзенская улица	От 1 года до 3 лет	Полный день	Полная занятость		False	HomeART	120000		False	RUR
False	Механик по ремонту основного и вспомогательного технологического оборудования	False	Ижевск	56.897694	53.3804	Ижевск, Устиновский район, Новосмирновская улица, 23	От 1 года до 3 лет	Полный день	Полная занятость	Техническая грамотность_Работа в условиях многозадачности_Коммуникабельность, ответственность_Работа в команде_Стремление развиваться	False	Ижевская бумажная компания		50000	False	RUR
False	Разработчик Oracle	False	Екатеринбург	56.8198394946	60.6498548823	Екатеринбург, Сибирский тракт, 12к5	От 3 до 6 лет	Полный день	Полная занятость	Oracle Pl/SQL_SQL	False	Монетка, Торговая сеть	130000	160000	False	RUR
False	Руководитель проектов 1C:ERP	False	Москва	55.754223	37.635125	Москва, Лубянский проезд, 27/1с1	От 3 до 6 лет	Полный день	Полная занятость	Управление проектами_Scrum_Ведение переговоров_Управление персоналом_ERP-системы на базе 1С_ERP	False	Кузница Кадров	200000		False	RUR
False	Дизайнер - оператор CTP	False	Воронеж	51.7072	39.176194	Воронеж, улица Генерала Лизюкова, 2	От 3 до 6 лет	Полный день	Полная занятость	Adobe InDesign_Adobe Illustrator_Верстка_Adobe Photoshop_CorelDRAW_Полиграфический дизайн_Графический дизайн_Дизайн	False	Воронеж, Издательско-полиграфическая фирма	25000	35000	True	RUR
False	Тестировщик 1С	False	Ижевск	56.847553	53.20292	Ижевск, улица Карла Маркса, 191	От 1 года до 3 лет	Полный день	Полная занятость	Работа в команде_Проведение тестирований_Тестирование_Тестирование пользовательского интерфейса	False	Ситек	35000	45000	False	RUR
False	Корректор ГУ МВД России по г. Москве	False	Москва	55.769899	37.613404	Москва, улица Петровка, 38	Нет опыта	Полный день	Полная занятость	Пользователь ПК_Грамотная речь_Грамотность_Работа с документами_Делопроизводство	False	ГУ МВД Российской Федерации по г. Москве	35000	35000	False	RUR
False	Токарь-универсал	False	Воронеж	51.705855	39.289481	Воронеж, улица Землячки, 9А	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Работа в команде_оформление документации_Работа с оргтехникой_Internet_Умение читать чертежи_Точность_Работа с чертежами_Точность и внимательность_Единичное производство	False	Спецмашпривод	50000		True	RUR
False	Системный администратор	False	Москва	55.76601	37.675478	Москва, Доброслободская улица, 19	От 3 до 6 лет	Полный день	Полная занятость	Администрирование сетевого оборудования_Информационные технологии_ЭДО_IP телефония_Многозадачность_Администрирование_Администрирование 1С_Автоматизация документооборота	False	СОГАЗ		120000	True	RUR
False	Дизайнер UX/UI	False	Санкт-Петербург	59.993298	30.356948	Санкт-Петербург, Политехническая улица, 6	От 1 года до 3 лет	Полный день	Полная занятость	Грамотность_Figma_Adobe Photoshop_HTML_Usability	False	+ДИАЛ+	60000		False	RUR
False	Разработчик технических условий	False	Санкт-Петербург	59.927567	30.41851	Санкт-Петербург, проспект Шаумяна, 49	От 1 года до 3 лет	Полный день	Полная занятость	Техническая документация_Внутренняя документация_Пользователь ПК_Технический Писатель	False	Невасерт	60		False	RUR
False	Монтажник РЭАиП	False	поселок городского типа Кугеси	56.029325	47.299947	поселок городского типа Кугеси, Шоссейная улица, 3А	От 1 года до 3 лет	Полный день	Полная занятость	Пуско-наладочные работы_Станки ЧПУ_программирование чпу_Монтаж оборудования_Настройка ПО_Настройка ПК_Ввод в эксплуатацию_Ремонт ПК_Работа в команде_Электромонтажные работы	False	AMN Engineering	45000	70000	False	RUR
False	Level Designer (дизайнер уровней мобильной RTS)	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость		False	Gear Games	35000		False	RUR
False	Оператор станка с ЧПУ (Гибка металлоконструкций)	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	Пользователь ПК_Работа в команде_Контроль качества_Сосредоточенность	False	Эверест-Тех	60000		False	RUR
False	Ведущий эксперт	False	Москва	55.688532	37.623411	Москва, Варшавское шоссе, 37	От 3 до 6 лет	Полный день	Полная занятость		False	Сервионика		160000	False	RUR
False	Оператор станка с ЧПУ	False	Щёлково	55.904493	37.980546	Щёлково, Московская улица, 70А	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Контроль качества_Материальная ответственность_Станки ЧПУ	False	Дергрос	55000	60000	True	RUR
False	Оператор 1C	False	Бийск	52.539631	85.167961	Бийск, Кирпичная улица, 50	От 1 года до 3 лет	Полный день	Полная занятость		False	МЯСНАЯ ТЕЛЕЖКА	27000	27000	False	RUR
False	Специалист техподдержки 1С	False	Челябинск	55.067308	61.398933	Челябинск, Троицкий тракт, 76Б	Нет опыта	Полный день	Полная занятость	Работа с людьми_1С: Комплексная автоматизация	False	Союз-Игрушка	35000		False	RUR
False	Оператор станка с ЧПУ	False	Ижевск	56.908615	53.368282	Ижевск, Воткинское шоссе, 326	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Работа в команде_Работа в условиях многозадачности	False	МПП Промэкспо	34000	90000	False	RUR
False	Руководитель по управлению операционным блоком	False	Стерлитамак	53.633788	55.923396	Стерлитамак, улица Худайбердина, 150А	От 3 до 6 лет	Полный день	Полная занятость	Управление проектами_Работа с большим объемом информации_Аналитическое мышление_Деловая коммуникация_Google Docs_MS Excel_Анализ бизнес показателей_Стратегическое мышление_Опыт работы в режиме многозадачности_Планирование и организация_Google таблицы_Сводные таблицы_ВПР_Работа с партнерами_Высокий уровень самоорганизации_Контроль_Анализ текущей ситуации_Умение организовать работу	False	Pedant.ru	50000		False	RUR
False	Механик-наладчик	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Ремонтные работы_Слесарные работы_Сварочные работы_Чтение чертежей_Поиск информации в интернет	False	Система промышленная группа	50000	65000	True	RUR
