premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Специалист по сопровождению 1С	False	Ставрополь	44.999382	41.911528	Ставрополь, улица 45-я Параллель, 38	Нет опыта	Полный день	Полная занятость	Сосредоточенность_Грамотная речь_Работа с людьми_Ответственность и пунктуальность	False	БЕСТСОФТ	20000.0		True	RUR
False	Стажер — Менеджер музыкального YouTube-канала	False					Нет опыта	Полный день	Полная занятость	Креативность_Музыка_YouTube_Составление плейлистов_Музыкальная аналитика_Английский язык_Менеджмент канала_Ведение социальных сетей_Контент-менеджмент_Создание кроссфейдов_Работа с аудиторией	False	NewGen Vision	35000.0	45000.0	False	RUR
False	BackEnd-разработчик (Full Stack)	False	Пенза	53.226746	44.983174	Пенза, улица Германа Титова, 1Г	От 1 года до 3 лет	Полный день	Полная занятость	PostgreSQL_Linux_Python_ClickHouse_Redis	False	КРУГ, НПФ	60000.0	100000.0	True	RUR
False	Продакт-менеджер	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Управление проектами_Atlassian Jira_Разработка нового продукта_Product Management_Вывод продукта на рынок_Эффективное принятие решений	False	Вспорте	130000.0		False	RUR
False	Финансовый журналист	False	Киров	58.615816	49.683932	Киров, Профсоюзная улица, 1	От 1 года до 3 лет	Полный день	Полная занятость	Креативность_Написание рекламных статей_Копирайтинг_Написание текстов_Написание статей_Тележурналистика_Продвижение бренда_Реклама_Запуск региональных рекламных кампаний_Маркетинговые исследования	False	ГК Дело и Деньги	50000.0		False	RUR
False	Инженер-механик	False	Елабужский район	55.828111	52.044058	Елабужский район, Особая экономическая зона Алабуга, улица Ш-2, 11/1	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Ремонтные работы_Техническое обслуживание_Управление производственным персоналом	False	П-Д Татнефть-Алабуга Стекловолокно	55000.0		True	RUR
False	Токарь-расточник	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	токарь_Чтение чертежей_Токарная обработка деталей_Работа мерительным инструментом_Работа в команде	False	Машиностроительный завод ЗиО-Подольск	130000.0		True	RUR
False	Программист 1С	False	Курск	51.775539	36.176073	Курск, проспект Победы, 10	От 3 до 6 лет	Полный день	Полная занятость	1С программирование_Аналитический склад ума_1С: Предприятие 8_программирование_обучаемость_Опытный пользователь ПК_1С: Бухгалтерия_1С: Управление Торговлей_1С: Розница_1С: Зарплата и управление персоналом_Торговое оборудование_ERP-системы на базе 1С_1С: Управление Производственным Предприятием_1С: Управление предприятием_1С: Комплексная автоматизация	False	Лайнкор	47000.0	130000.0	False	RUR
False	Программист .NET	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	WPF_Entity Framework_C#_ASP.NET_CSS	False	РУБЛЬ БУМ, ГК	80000.0	80000.0	True	RUR
False	Токарь16к20	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость		False	СтройСервис	100000.0	120000.0	False	RUR
False	Аналитик	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Бизнес-анализ_Моделирование бизнес процессов_Разработка и внедрение политик и процедур_Аналитическое мышление_Системное мышление	False	Агропромкомплектация	43000.0	43000.0	True	RUR
False	Фрезеровщик	False	Омск	54.918793	73.404594	Омск, улица Гуртьева, 18	От 1 года до 3 лет	Полный день	Полная занятость	Изготовление мелкоразмерных деталей_Изготовление крупногабаритных изделий_Частая переналадка_Пресс-форма_Корпус	False	Омский НИИ Приборостроения	30000.0	50000.0	False	RUR
False	Программист 1С УТ, БП	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	1С: Управление Торговлей_1С: Бухгалтерия_1С: Зарплата и управление персоналом	False	Автоклондайк - Москва	130000.0		False	RUR
False	Аналитик	False	Белгород	50.555114	36.653087	Белгород, Рабочая улица, 22	От 1 года до 3 лет	Полный день	Полная занятость	Прогнозирование_Анализ рынка_SWOT анализ_Python_SQL_Оптимакрос_Anaplan_MS Excel_Аналитическое мышление_VBA_Ценообразование_Парсинг_Работа с большим объемом информации_b2b исследования	False	Автомаркет	100000.0		False	RUR
