premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Инженер отдела картографии и ГИС	False	Архангельск	64.538933	40.514235	Архангельск, Троицкий проспект, 45	От 1 года до 3 лет	Полный день	Полная занятость	ArcGIS_QGIS_Работа с базами данных_оформление документации_Поиск информации в интернет	False	ГАУ Управление информационно-коммуникационных технологий Архангельской области	41000		False	RUR
False	Senior Java Developer (Германия/Сербия)	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Git_Java_Английский язык_Spring Framework_SQL	False	Alex Staff Agency	2800	3500	False	EUR
False	Специалист технической поддержки	False	Санкт-Петербург	59.984724	30.316506	Санкт-Петербург, набережная Чёрной речки, 15	От 1 года до 3 лет	Полный день	Полная занятость	Настройка сетевых подключений_Настройка ПК_Техническая поддержка_CRM_1С: Бухгалтерия	False	МАКО	40000	50000	False	RUR
False	Оператор 1C	False	Набережные Челны	55.7133766206	52.4151247367	Набережные Челны, Хлебный проезд, 37	От 1 года до 3 лет	Полный день	Полная занятость	Ответственность_Исполнительность	False	Булгарпиво	26000		False	RUR
False	Оператор станка с ЧПУ	False	Подольск	55.375189	37.562281	Подольск, микрорайон Климовск, Бережковский проезд, 4с1	От 1 года до 3 лет	Полный день	Полная занятость	Работа в команде_Контроль исполнения решений_Станки ЧПУ_Металлообработка_Кладовщик	False	СМИТ	80000		False	RUR
False	Начинающий специалист по сервисному обслуживанию банковского оборудования	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	Настройка ПО_Выездное обслуживание_Установка ОС_Сервисное обслуживание_Работа с банками_Настройка оборудования	True	АТМ АЛЬЯНС	70000		False	RUR
False	Веб-программист	False	Красноярск	56.003829	92.770214	Красноярск, Свободный проспект, 79	От 1 года до 3 лет	Полный день	Полная занятость		False	Библиотечно-издательский комплекс СФУ	30000	50000	False	RUR
False	Дизайнер	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость		False	Ассоциация Галерея Чижова	40000		False	RUR
False	Аналитик-маркетолог в производственную компанию	False	Санкт-Петербург	59.932626	30.225147	Санкт-Петербург, Шкиперский проток, 14к1	От 3 до 6 лет	Полный день	Полная занятость	Анализ конкурентной среды_Анализ рынка_Аналитическое мышление_1С: Управление Торговлей_Расчет и анализ себестоимости продукции и услуг_ERP-системы на базе 1С_Анализ продаж_Конкурентная аналитика_Анализ ассортиментной линейки_Контроль и анализ ценообразования	False	Завод высотных конструкций	69000	100000	True	RUR
False	Инженер-монтажник систем безопасности (Слаботочных систем)	False	Тольятти	53.538344	49.361976	Тольятти, улица 40 лет Победы, 9	От 1 года до 3 лет	Полный день	Полная занятость	Ответственность_Самоорганизованность_Стремление к самообучению и развитию	False	Рекон	40000	65000	False	RUR
False	Системный администратор	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость		False	Бизнес-Ассистанс	51000	60000	False	RUR
False	Электроэрозионист - наладчик и оператор ЧПУ	False	Москва	55.727055	37.385241	Москва, улица Горбунова, 12к2с1	От 3 до 6 лет	Полный день	Полная занятость	AutoCAD_Компас-3D_электроэрозионная обработка_эрозионная обработка_Металлообработка	False	ДОМИНИК	100000	120000	False	RUR
False	Специалист по анализу защищенности (Пентестер)	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Python_Linux_TCP/IP_Информационная безопасность_PHP_pentest_сетевые технологии_Active Directory_JavaScript	False	НТЦ Вулкан	100000	200000	False	RUR
False	Senior java разработчик	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость		False	СК Сбербанк страхование жизни	312000		True	RUR
False	Старший инженер разработчик радиотехнических устройств с применением ЭКБ	False	Санкт-Петербург	59.863165	30.475876	Санкт-Петербург, проспект Обуховской Обороны, 120	От 1 года до 3 лет	Полный день	Полная занятость	MATLAB_VHDL_Желание учиться и развиваться_Схемотехника электронного оборудования_ЕСКД_ЭКБ_САПР Mentor EE	False	Российский институт радионавигации и времени (РИРВ)	60000		True	RUR
False	Руководитель проекта по бережливому производству	False	Челябинск	55.203406	61.449185	Челябинск, Валдайская улица, 8П	От 1 года до 3 лет	Полный день	Полная занятость	Бережливое производство_Составление отчетности_Организация рабочего процесса_Высшее образование_Работа в условиях многозадачности	False	Томир	80000	80000	False	RUR
False	Монтажник слаботочных систем	False	Киров	58.611452	49.683034	Киров, Первомайский район, улица Розы Люксембург, 16	От 1 года до 3 лет	Полный день	Полная занятость	Мобильность	False	Торговый Дом Рубеж-М	35000	60000	False	RUR
False	Программист 1С, удаленно	False	Астрахань	46.340839	48.030044	Астрахань, Бакинская улица, 79	От 1 года до 3 лет	Полный день	Полная занятость		False	Адептик Плюс	100000		False	RUR
False	Электроник	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Должностные инструкции_ПК_Работа в условиях многозадачности_Ответственное отношение к работе_Внимательность к деталям, способность работать с большими массивами информации	False	ФГАУ Дом отдыха Туапсе Управления Делами Президента Российской Федерации	30000	34000	True	RUR
False	Установщик бытовой техники	False	Екатеринбург	56.761383	60.748868	Екатеринбург, улица Черняховского, 86к13	От 1 года до 3 лет	Полный день	Полная занятость	Обучение и развитие_Ориентация на результат_Гарантийное обслуживание_Техническая грамотность_Ремонт бытовой техники_Стремление к профессиональному росту_Стремление развиваться_1C: Предприятие_Выездное обслуживание	False	Сеть магазинов цифровой и бытовой техники DNS	44000	80000	False	RUR
False	Техник по эксплуатации и ремонту оборудования	False	посёлок городского типа Сириус	43.405053	39.970808	посёлок городского типа Сириус, улица Чемпионов, 3	От 1 года до 3 лет	Полный день	Полная занятость	Техническое обслуживание_Контроль исправности оборудования_Ремонт оборудования_Вентиляция и кондиционирование_Системы теплоснабжения_Водоснабжение и канализация	False	Сочи-Парк	47850	57420	True	RUR
False	Программист 1C	False	Екатеринбург	56.832147	60.653592	Екатеринбург, Кировский район, микрорайон Втузгородок, Библиотечная улица, 50	От 1 года до 3 лет	Полный день	Полная занятость	1С программирование_1С: Предприятие 8_Обновление конфигурации 1С_1С: Розница_1С: Управление Торговлей	False	Компания Смайли	100000	140000	False	RUR
False	Инженер 2-й линии технической поддержки	False	Москва	55.790043	37.713027	Москва, улица Девятая Рота, 4А	От 1 года до 3 лет	Полный день	Полная занятость	Пунктуальность_Инициативность_Умение нестандартно мыслить	False	Мосинтер	60000		False	RUR
False	Ведущий разработчик аппаратной части / Senior hardware engineer	False		0.0	0.0	г. Иваново, ул. Воронина, 5	Более 6 лет	Полный день	Полная занятость	Схемотехника электронного оборудования_Чтение электросхем_Английский язык_C++_Altium Designer_микроконтроллеры_ПЛИС_HDL_USB_силовая электроника_AutoCAD_open-source_Linux_Android_Mercurial_SVN_Работа в команде_ЕСКД_Стандартная логика_Счетчики_Триггеры_Регистры_Таймеры_С#	False	Нейрософт	150000		True	RUR
False	Фрезеровщик	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость		False	ПРОФКАДРЫ	86000		False	RUR
False	Технический писатель (ИТ)	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	ГОСТ34_Разработка инструкций_Техническая документация_Эксплуатационные документы_MS Office_WiKi	False	Научно-Производственный Центр Макс	110000	160000	False	RUR
False	Специалист технической поддержки	False	Москва	55.856017	37.558867	Москва, Дмитровское шоссе, 71Б	От 1 года до 3 лет	Полный день	Полная занятость	MS Dos_Ремонт телефонов_Управление офисами компании_Организация офисного переезда_косметический ремонт помещений	False	Перспектива 24 МСК-САО (Москва Север)	40000	60000	False	RUR
False	Администратор сети передачи данных	False	Новосибирск	55.021994	82.916477	Новосибирск, улица Свердлова, 5	Нет опыта	Полный день	Полная занятость	Английский язык_Cisco_TCP/IP_Ethernet	False	Сибирская генерирующая Компания		65000	False	RUR
False	Фрезеровщик	False	Арамиль	56.700034	60.840586	Арамиль, Клубная, 7	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Работа в команде_Чтение чертежей_Массовое производство_Умение читать чертежи	False	Производственное предприятие ВИЯ	70000		False	RUR
False	Специалист 1С в отдел технической поддержки 1-2 линия	False	Ижевск	56.871065	53.208643	Ижевск, Пушкинская улица, 284А	От 1 года до 3 лет	Полный день	Полная занятость	1С: Предприятие 8_1С: Бухгалтерия_1C: Бухгалтерия_Обновление конфигурации 1С_1С: Зарплата и управление персоналом_Техническая поддержка	False	Главбух Ассистент		70000	True	RUR
False	Системный администратор	False	Волгоград	48.740232	44.492316	Волгоград, проспект Маршала Жукова, 94Д	От 3 до 6 лет	Полный день	Полная занятость		False	FRESH AUTO	40000	47000	False	RUR
False	Аналитик отдела продаж	False	Киров	58.583889	49.673161	Киров, Первомайский район, улица Володарского, 223	От 1 года до 3 лет	Полный день	Полная занятость	1С: Управление Торговлей_База данных: Olap_Excel_Математический склад ума	False	Клевер Восток	35000		False	RUR
False	Бизнес-аналитик SAP EWM	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Оптимизация бизнес-процессов_Разработка инструкций_Складская логистика_BPMN_SAP EWM	False	Кадровое агентство Юнити		200000	False	RUR
False	Ведущий консультант-аналитик по сопровождению 1С	False	Челябинск	55.1678165731	61.4062566496	Челябинск, Труда, 91	От 1 года до 3 лет	Полный день	Полная занятость	1С ERP_1С: Управление Производственным Предприятием_1С: Управление Холдингом_Управленческий учет_Бухгалтерский учет_Налоговый учет_Закупки_Продажи_Складской Учет_Логистика_Торговля_Документооборот_Автоматизация процессов_Сбор и анализ информации_Постановка задач разработчикам_Разработка инструкций_1С: Управление Торговлей_Моделирование бизнес процессов_1С: Комплексная автоматизация_Описание бизнес-процессов	False	1C-Рарус	90000		False	RUR
False	Компьютерный мастер	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	Ремонт ПК_Работа в команде_Грамотная речь_Активные продажи_Обучение персонала_Windows 7_Диагностика_Ремонт ноутбуков_Управление отношениями с клиентами_Ремонт	False	Спецремонт	65000		False	RUR
False	Монтажник слаботочных систем	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость		False	ПКП Кросс	40000		False	RUR
False	Python-разработчик систем сбора	False	Москва	55.768269	37.615982	Москва, Петровский бульвар, 15с1	От 1 года до 3 лет	Полный день	Полная занятость	Git_Linux_ООП_Python	False	Селфсек	100000	150000	False	RUR
False	Инженер-монтажник	False	Новосибирск	55.030204	82.92043	Новосибирск	Нет опыта	Полный день	Полная занятость		False	МТС	55000		True	RUR
False	Инженер по гарантии	False	Архангельск	64.517422	40.669104	Архангельск, Дачная улица, 48	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Работа в команде_Деловое общение_оформление документации_Грамотная речь	False	ГРУППА М	50000	60000	False	RUR
False	Middle JavaScript-developer	False	Воронеж	51.702026	39.180677	Воронеж, Московский проспект, 85	От 3 до 6 лет	Полный день	Полная занятость	JavaScript_HTML5_Git_CSS3_TypeScript_JS_JavaScript ES6_AngularJS_Angular	False	SoftGamings	120000	200000	False	RUR
False	Бизнес-аналитик	False	Москва	55.769114	37.524462	Москва, 1-я Магистральная улица, 17с4	От 1 года до 3 лет	Полный день	Полная занятость		False	Group of Investing Companies	100000	150000	True	RUR
False	Главный специалист отдела информационных технологий (1C ERP)	False	Якутск	62.052031	129.70698	Якутск, улица Петра Алексеева, 76	От 3 до 6 лет	Полный день	Полная занятость	SQL_Базы данных_Управление временем_1С: Управление предприятием_1С УАТ	False	ЯТЭК	120000		False	RUR
False	Токарь-универсал	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Работа в команде_Точность и внимательность к деталям_токарная обработка деталей_Чтение чертежей	False	Машиностроительный завод ЗиО-Подольск	130000		True	RUR
False	Верстальщик	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	JavaScript_typescript_pug_react_CSS_Верстка_wordpress_express	False	Дельта Софт Групп	100000		False	RUR
False	Руководитель проекта	False	Нефтекамск	56.095604	54.257812	Нефтекамск, улица Строителей, 31	Более 6 лет	Полный день	Полная занятость	AutoCAD_Строительство_Сопровождение строительства_Контроль качества_оформление документации	False	Сити-Строй	50000		False	RUR
False	Механик по транспорту	False	Новосибирск	55.040802	82.911581	Новосибирск, улица Челюскинцев, 50	От 3 до 6 лет	Полный день	Полная занятость	Формирование бюджета_Учет материалов_Планирование_Умение принимать решения_Умение работать с людьми_Техническая грамотность_Умение расставлять приоритеты_Взаимодействие с контролирующими органами	False	Производственное объединение Инженерная геодезия	45000	45000	False	RUR
False	Системный аналитик	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	UML_BPMN_Atlassian Jira_Управление проектами_SQL_API	False	AGIMA	250000		True	RUR
False	IT cпециалист	False	Чебоксары	56.131154	47.276878	Чебоксары, улица Патриса Лумумбы, 8	От 3 до 6 лет	Полный день	Полная занятость		False	филиал ФКУ Налог-Сервис ФНС России в Чувашской Республике	32000	38000	True	RUR
False	Программист	False	Королев	55.913576	37.80603	Королев, Пионерская улица, 4	От 1 года до 3 лет	Полный день	Полная занятость	Object Pascal_C#_SerialPort_TCP/UDP_SQL_HID	False	Болид, НВП	100000		False	RUR
False	Специалист первой линии технической поддержки	False	Казань	55.779216	49.131989	Казань, улица Островского, 98	Нет опыта	Полный день	Полная занятость	Мобильность_Корпоративная этика_Навыки составления отчетности_Организационные навыки_обучение сотрудников	False	Совкомбанк Технологии	25000	37000	True	RUR
False	Программист-технолог	False	Стерлитамак	53.597739	55.932101	Стерлитамак, улица Гоголя, 122	От 3 до 6 лет	Полный день	Полная занятость	Adobe Photoshop_Продвинутый пользователь ПК_Kompas (Erp)_Металлообработка_Деревообработка	False	Стерлитамакский экспериментально-механичекий завод	50000		True	RUR
False	Оператор-аналитик	False	Москва	55.739154	37.586616	Москва, улица Пречистенка, 40/2с1	От 1 года до 3 лет	Полный день	Полная занятость		False	Франчайзинговая розничная сеть Галамарт	55000	70000	False	RUR
False	Механик	False	деревня Бесовец	61.865782	34.159598	деревня Бесовец, деревня Верхний Бесовец	От 3 до 6 лет	Полный день	Полная занятость	Умение работать в команде_Способность обучать других_Умение принимать решения_Навыки составления отчетности	False	БУ РК Аэропорт Петрозаводск	26000	28000	True	RUR
False	Продакт-менеджер	False	Москва	55.73883	37.71804	Москва, 5-я Кабельная улица, 3с1	От 1 года до 3 лет	Полный день	Полная занятость	Анализ рынка_Аналитическое мышление_Креативность_Инициативность_Работа в команде	False	Леонардо	63000	70000	False	RUR
False	Главный механик	False	Альметьевск	54.900632	52.331321	Альметьевск, Полевая улица, 2	От 1 года до 3 лет	Полный день	Полная занятость	Работа с ТМЦ_Ремонтные работы_Управление персоналом_Техническая эксплуатация_Взаимодействие с контрольными органами	False	Альметьевское ПОПАТ	60000	70000	False	RUR
False	Начальник производства (ремонтно-механические мастерские)	False	Самара	53.128851	50.107236	Самара, поселок Кряж, Утевский переулок, 23	От 3 до 6 лет	Полный день	Полная занятость	Охрана труда и техника безопасности_Пользователь ПК_Обеспечение техники безопасности_Навыки составления отчетности	False	САТ-2000	45000	45000	False	RUR
False	Инженер	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Настройка ПК_Ремонт ПК_Настройка ПО_Техническое обслуживание_Сборка ПК	False	Сервионика	36000	36000	False	RUR
False	Выпускающий редактор удалённо	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Грамотность_Грамотная речь_Написание текстов_Работа с большим объемом информации_Креативность	False	DEITA.RU	40000		False	RUR
False	Программист - разработчик	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	C++_MySQL_Linux_Qt_Git_OpenCV	False	Интехком	70000	100000	False	RUR
False	Инженер по автоматизации тестирования	False	Москва	55.841165	37.650433	Москва, Докукина, 16 стр.1	От 1 года до 3 лет	Полный день	Полная занятость	Python_Автоматизация_CI/CD_C++_Linux_GitHub_Jenkins_Docker	False	Аладдин Р.Д.		220000	False	RUR
False	Руководитель проектов (Менеджер по продажам)	False	станица Динская	45.195882	39.232707	станица Динская, Железнодорожная улица, 265А	От 1 года до 3 лет	Полный день	Полная занятость		False	Краснодарский компрессорный завод	40000		False	RUR
False	Руководитель R&D центра	False	Щёлково	55.913818	38.035478	Щёлково, Заводская улица, 2к88	От 3 до 6 лет	Полный день	Полная занятость	Работа в команде_Управление проектами_Научные исследования_Производственный контроль_органическая химия_Патенты_прикладная наука	False	ПрофХолод	200000		True	RUR
False	Оператор фрезерного ЧПУ станка	False	село Ангелово	55.859893	37.335421	село Ангелово, Центральная улица, вл2с2	От 1 года до 3 лет	Полный день	Полная занятость	AutoCAD_CorelDRAW_Mathcad_Adobe Acrobat	False	РУСВИТАЛЭЛЕКТРО	80000		False	RUR
False	Специалист по информационным системам	False	Тула	54.161235	37.585547	Тула, проспект Ленина, 102Б	От 1 года до 3 лет	Полный день	Полная занятость	Linux_Администрирование сайтов_TCP/IP_Администрирование серверов Linux_HTML	False	ГУ Тульской Области Организатор Перевозок и Навигации	50000	50000	False	RUR
False	Начинающий программист C/C++ Linux под архитектуру ARM	False	Москва	55.611231	37.614231	Москва, Подольских Курсантов, 3С8	От 3 до 6 лет	Полный день	Полная занятость	Linux_C/C++_Git	False	Компания ДЭП	100000	140000	False	RUR
False	Ведущий системный администратор/заместитель руководителя ИТ	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Организация конференций	True	ТК Алко	120000	120000	False	RUR
False	Программист web-ресурсов	False	Тольятти	53.556823	49.214939	Тольятти, Южное шоссе, 165	От 1 года до 3 лет	Полный день	Полная занятость	HTML_MySQL_JavaScript_CSS_CMS Wordpress_Ajax_jQuery_PHP_SEO_1С-Битрикс_Администрирование сайтов_Веб-программирование_Adobe Photoshop_Linux_HTML5_PHP5	False	Государственное автономное учреждение Самарской области Центр инновационного развития и кластерных инициатив	29873	46255	True	RUR
False	Механик по выпуску автомобилей	False	Ростов-на-Дону	47.267799	39.761599	Ростов-на-Дону, Троллейбусная улица, 24/2В	От 1 года до 3 лет	Полный день	Полная занятость	Работа с автомобилями в собственности_Водитель_Знание устройства автомобиля_Техническая грамотность_Ремонт_оформление документации_Транспортная инфраструктура_Организация технического обслуживания автомобилей	False	МТК 61	50000	75000	True	RUR
False	Ведущий специалист по информационной безопасности	False	Москва	55.744865	37.599867	Москва, Гагаринский переулок, 3	От 1 года до 3 лет	Полный день	Полная занятость	Информационная безопасность_Внедрение систем информационной безопасности_Аудит безопасности_Организаторские навыки_Администрирование	False	Страховая Компания РСХБ-Страхование		100000	True	RUR
False	Токарь	False	Ульяновск	54.309281	48.331599	Ульяновск, Московское шоссе, 92	От 1 года до 3 лет	Полный день	Полная занятость	Работа в команде_Умение работать в команде	False	УАЗ	30000		False	RUR
False	Механик-наладчик	False	Обнинск	55.1094382606	36.6413455411	Обнинск, Киевское шоссе, 33	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Работа в команде_Грамотная речь_Грамотность	False	МПК Обнинский	70000		True	RUR
False	Разработчик сетевых приложений (Wireless, OpenWRT)	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Lua_Jira_OpenWRt_Embedded_C/C++_Linux_Python_UART_JTAG_Хорошая обучаемость_Стремление к профессиональному росту	False	Ваймарк Системс	160000		False	RUR
False	Специалист по техподдержке СДО	False	Саратов	51.527707	46.016389	Саратов, Ульяновская улица, 28	От 1 года до 3 лет	Полный день	Полная занятость	Техническая поддержка_Обучение и развитие	False	Рубеж, Группа компаний		45000	True	RUR
False	Токарь	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость		False	ГК Unitile		51200	True	RUR
False	Специалист по информационной безопасности	False	Москва	55.753676	37.619899	Москва	От 1 года до 3 лет	Полный день	Полная занятость	Информационная безопасность_Unix_TCP/IP_Windows 7	False	Банк Русский Стандарт	80000	80000	True	RUR
False	.NET developer (С#, T-SQL)	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	C#_MS SQL Server_MS SQL_.NET Framework	False	Antal Talent		200000	True	RUR
False	Компьютерный мастер	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость		False	Поляков Денис Иванович	40000	55000	False	RUR
False	Специалист технической поддержки	False	Москва	55.674357	37.615605	Москва, Электролитный проезд, 3	От 1 года до 3 лет	Полный день	Полная занятость	Консультирование_Настройка сетевых подключений_Работа с оргтехникой_Электронная почта_входящие звонки	False	Филанко	50000		False	RUR
False	Менеджер проектов (координатор)	False	Нижний Новгород	56.333779	43.959085	Нижний Новгород, Керченская улица, 13	От 1 года до 3 лет	Полный день	Полная занятость	Мерчандайзинг_Работа в команде_Пользователь ПК_Деловое общение_Деловая переписка_Работа с большим объемом информации_Ориентация на результат_Ответственность_Грамотная речь_Стрессоустойчивость	False	Acosta	30000	50000	False	RUR
False	Старший специалист технической поддержки 1С	False	Москва	55.719176	37.632925	Москва, Партийный переулок, 1к10	От 1 года до 3 лет	Полный день	Полная занятость	Уверенный пользователь ПК_Офисные программы_1С: Зарплата и управление персоналом_1С: Бухгалтерия_1С: Документооборот	False	Сеть кофеен Шоколадница		140000	False	RUR
False	Корреспондент	False	Ставрополь	45.042413	41.955034	Ставрополь, улица Дзержинского, 160	Нет опыта	Полный день	Полная занятость	Грамотная речь_Грамотность_Поиск информации в интернет_Internet_Google Chrome	False	АиФ - Северный Кавказ	30000	30000	True	RUR
False	Программист 1С	False	Северодвинск	64.564336	39.817978	Северодвинск, улица Бойчука, 3	Нет опыта	Полный день	Полная занятость	1С программирование_Автоматизированное рабочее место (АРМ)_Знание 1С_1C: Предприятие_Высокая энергичность и инициативность	False	Регионит	80000		True	RUR
False	Наладчик оборудования (косметическое производство)	False	рабочий посёлок Правдинский	56.05586	37.85789	рабочий посёлок Правдинский, улица Ленина, 15к2	От 3 до 6 лет	Полный день	Полная занятость		False	Джиэсэс Косметикс	60000		False	RUR
False	Механик/слесарь-наладчик	False	село Дубки	44.938578	34.018607	село Дубки, Лесная улица	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_AutoCAD_Компас-3D_Работа в команде	False	Гончаренко Андрей Васильевич	45000		False	RUR
False	Специалист по установке оборудования	False	Красноярск	56.049822	92.757126	Красноярск, 2-я Красногорская улица, 23	От 1 года до 3 лет	Полный день	Полная занятость		False	ГУГОЛ	40000	80000	False	RUR
False	Инженер отдела оперативного управления сетью	False				Московская область Щелковский район деревня Долгое Лёдово ЦКС Медвежьи Озёра	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Сетевые технологии_TCP/IP_VoIP	False	ГК AltegroSky	65000		False	RUR
False	Механик	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Руководство коллективом_Организаторские навыки_Техническая эксплуатация_Знание устройства автомобиля_Ремонтные работы	False	Концессии теплоснабжения	28500		True	RUR
False	Графический дизайнер (разработка лицензионной продукции Disney)	False	Екатеринбург	56.7587684582	60.7561615265	Екатеринбург, улица Черняховского, 86к9	Нет опыта	Полный день	Полная занятость	Коммуникабельность_Adobe Photoshop_illustrator	False	Сима-ленд	35000	60000	False	RUR
False	Инженер по администрированию ЛВС	False	Казань	55.792792	49.169889	Казань, улица Патриса Лумумбы, 20к1	От 3 до 6 лет	Полный день	Полная занятость	VMware_Cisco_Linux_Networking_VMware vSphere	False	Транснефть-Прикамье	82400		True	RUR
False	Оператор токарного станка с ЧПУ	False	Санкт-Петербург	59.9709106025	30.4496850489	Санкт-Петербург, Уманский переулок, 76	От 1 года до 3 лет	Полный день	Полная занятость	Металлообработка_Точность и внимательность	False	ПКФ Кристалл	75000		True	RUR
False	Оператор листогибочного гидравлического пресса	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Стремление к профессиональному росту_Желание работать и развиваться	False	Риваль, Торгово-промышленная группа	25000		False	RUR
False	Аналитик потерь	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	VBA_MS PowerPoint_Анализ данных_MS SQL_Аналитика_Анализ потерь_SQL_Excel_Аналитические исследования_Базы данных	False	ДИКСИ, группа компаний		110000	True	RUR
False	Механик по ремонту дизельных генераторов	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость		False	Эверест	60000		False	RUR
False	Наладчик станков с ПУ	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	металлообработка_Наладчик станков с ПУ_Станки ЧПУ_токарно-фрезерный обрабатывающий центр	False	Пролетарский завод	51800	80000	True	RUR
False	Начальник отдела информационной безопасности	False	Владивосток	43.099785	131.903595	Владивосток, Черёмуховая улица, 11	От 3 до 6 лет	Полный день	Полная занятость	Информационная безопасность_Информационные технологии_Средства криптографической защиты информации_Разработка технических заданий_Разработка инструкций	False	ГАУЗ ПК МИАЦ	110000		False	RUR
False	Программист	False					От 1 года до 3 лет	Полный день	Полная занятость	Английский язык_C/C++_Lua_Программирование микроконтроллеров	False	Московский завод Физприбор	80000		True	RUR
False	Механик по техническому обслуживанию	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Техническое обслуживание_Контроль исправности оборудования	False	Новоангарский обогатительный комбинат	78400	78400	False	RUR
False	Технический специалист	False	Железногорск	56.232759	93.549566	Железногорск, проспект Курчатова, 49	Нет опыта	Полный день	Полная занятость	Настройка сетевых подключений_Настройка ПО_Настройка ПК_Ремонт ПК_Сборка ПК	False	Максима +	30000		False	RUR
False	Техник/инженер по слаботочным системам (видео, СКУД)	False	Березники	59.407024	56.806719	Березники	От 1 года до 3 лет	Полный день	Полная занятость	Системы видеонаблюдения_Контроль доступа_Системы охранно-тревожной сигнализации_Электрические системы и слаботочные системы_Монтаж инженерных систем_Администрирование сетевого оборудования_Технические системы и средства безопасности_Системы безопасности_Техническое обслуживание_Настройка ПО	False	Альфа Битс	45000	55000	False	RUR
