premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Технический директор / Главный инженер	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Взаимодействие с контрольными органами_Техническое обслуживание_Управление производством_Энергетика_Взаимодействие с надзорными организациями_Эксплуатация	False	Выборжец, Агрофирма	120000.0		False	RUR
False	Инженер службы технической поддержки	False	Москва	55.773064	37.665686	Москва, Ольховская улица, 4к2	От 1 года до 3 лет	Полный день	Полная занятость	ServiceDesk_Стрессоустойчивость_Microsoft Windows_Знание компьютера_Техническая поддержка пользователей_ITSM_SLA	False	Ventra	60000.0		False	RUR
False	Инженер - наладчик технологического оборудования	False	деревня Елино	55.9759737567	37.2682847936	деревня Елино	От 3 до 6 лет	Полный день	Полная занятость	Схемотехника электронного оборудования_Чтение электросхем_Электрические сети_Автоматизация_Диагностика_Техническое обслуживание	False	АРТИС	70000.0		False	RUR
False	Наладчик ТПА (термопластавтоматов)	False	Новосибирский район	54.873051	82.986447	Новосибирский район, аэродром Обь (ГЭС)	От 3 до 6 лет	Полный день	Полная занятость	Пользователь ПК_Контроль качества_Руководство коллективом_Технический контроль производства_Ремонтные работы_Управление производством_производство_Пуско-наладочные работы_Производственное планирование_Производственный контроль	False	Интерм	40000.0	55000.0	False	RUR
False	Главный механик	False	Челябинск	55.225835	61.44022	Челябинск, улица Героев Танкограда, 21П	Более 6 лет	Полный день	Полная занятость		False	Челябинский опытно-экспериментальный завод	70000.0	70000.0	False	RUR
False	Специалист технической поддержки/Инженер (в Банк)	False	Новосибирск	55.026938	82.917286	Новосибирск, улица Максима Горького	От 1 года до 3 лет	Полный день	Полная занятость	Грамотность_Пользователь ПК_Helpdesk	False	Сателл ИТ	40000.0		False	RUR
False	Аналитик-консультант 1С	False	Нижний Новгород	56.310767	43.995737	Нижний Новгород, улица Белинского, 32	От 1 года до 3 лет	Полный день	Полная занятость	1С программирование_Управление проектами_Создание конфигурации 1С_Обновление конфигурации 1С_Консультирование_1С: Комплексная автоматизация_Программист-консультант_Оптимизация бизнес-процессов_1С: Бухгалтерия_1С: Зарплата и кадры_1С: Управление предприятием_1С: Управление Торговлей_ERP-системы на базе 1С	False	Центр Бизнес Автоматизации	70000.0	150000.0	False	RUR
False	Менеджер по работе с маркетплейсами в рекламное агентство / e-commerce	False	Санкт-Петербург	59.926454	30.371213	Санкт-Петербург, Харьковская улица, 8А	От 1 года до 3 лет	Полный день	Полная занятость	Маркетплейсы_Продвижение_Поиск информации в интернет_Работа в графических редакторах_Умение работать в условиях многозадачности_Ведение отчетной документации_Планирование и организация_Постоянное самообразование_Умение работать в команде и самостоятельно_Анализ поведения пользователей	False	ACG	50000.0		False	RUR
False	Плавильщик металла	False	Назарово	56.026061	90.389256	Назарово, микрорайон Промышленный Узел	Нет опыта	Полный день	Полная занятость	Работа в команде_Умение работать в коллективе_Высокая энергичность и инициативность_принимать решения и за их результаты отвечать самостоятельно_планировать и оптимально организовать рабочий процесс_Готовность обучаться	False	Колосс	80000.0		False	RUR
False	Аналитик	False					От 1 года до 3 лет	Полный день	Полная занятость	Медицинское оборудование_Контроль исправности оборудования_Многозадачность_Точность и внимательность к деталям_Техническая документация_Ответственное хранение_Охрана труда и техника безопасности_Инженерные системы_Навыки составления отчетности_Работа в команде	False	ГБУ Кадровый центр ДЗМ	60000.0	80000.0	False	RUR
False	Оператор-наладчик станков с ЧПУ	False	Подольск	55.379966	37.554834	Подольск, микрорайон Климовск, Заводская улица, 2с8	От 1 года до 3 лет	Полный день	Полная занятость	внимательность, ответственность, аккуратность в работе	False	ПРОМТЕХНОЛОГИЯ	80000.0		False	RUR
False	Токарь	False	посёлок Бобровский	56.68697	60.974102	посёлок Бобровский, Лесная улица, 2	От 1 года до 3 лет	Полный день	Полная занятость	Работа с чертежами	False	ЛАБАРА-РУС	40000.0		False	RUR
False	Главный специалист-руководитель проектов (Симферополь Республика Крым)	False	N/A	N/A	N/A	N/A	Более 6 лет	Полный день	Полная занятость	Деловая переписка_Строительство_MS Outlook_Сопровождение строительства_Работа с большим объемом информации_AutoCAD_Взаимодействие с разрешительными органами_эффективная организация выполнения поставленных задач_Грамотность_Дисциплинированность_развитые коммуникативные способности_Целеустремленность_Активность	False	ГКУ Республики Крым Инвестиционно-Строительное Управление Республики Крым	93000.0		True	RUR
False	Токарь	False	Челябинск	55.206971	61.35568	Челябинск, Производственная улица, 2А	От 1 года до 3 лет	Полный день	Полная занятость	Работа с чертежами_Высокая степень ответственности_Ответственный подход к работе_Умение работать самостоятельно	False	ЧМНУ Спецэлеватормельмонтаж	50000.0		False	RUR
False	Back-end разработчик C# .Net Core 6+	False	Челябинск	55.16019	61.289267	Челябинск, улица Академика Сахарова, 26	От 3 до 6 лет	Полный день	Полная занятость	JavaScript_Git_PostgreSQL_MongoDB_Nginx_Linux_Адекватность_.NET Core_C#_.NET Framework_Azure_AWS	False	Alt.Point	80000.0	140000.0	False	RUR
False	Главный специалист по АСУ	False				Тула, Сызранская улица,11	От 1 года до 3 лет	Полный день	Полная занятость	Английский язык_MS SQL_Автоматизация_Cистемы управления базами данных_Гибкость	False	РН-Маркетинг	47600.0	51600.0	True	RUR
False	Фрезеровщик	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Работа в команде_Грамотная речь_Материальная ответственность	False	Группа компаний Система	110000.0		False	RUR
False	Ведущий инженер	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Администрирование сетевого оборудования_Cisco_TCP/IP_Linux_Настройка сетевых подключений	False	КОГБУ Центр стратегического развития информационных ресурсов и систем управления	29000.0		False	RUR
False	Контент-менеджер 1C-Битрикс в магазин видеоигр	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	SEO-копирайтинг_Копирайтинг_Написание текстов_Наполнение контентом_Написание статей_Журналистика_Администрирование сайтов_1С-Битрикс_маркетплейсы	False	ИгроРай	30000.0	45000.0	False	RUR
False	Инженер систем управления производственными процессами	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	TCP/IP_Windows 7_Настройка ПК_Linux_Настройка ПО	False	Мираторг, Агропромышленный холдинг	57000.0		True	RUR
False	Младший инженер по производству и испытаниям оборудования для АЭС	False	Санкт-Петербург	59.92984009	30.3694437116	Санкт-Петербург, Невский проспект, 142	Нет опыта	Полный день	Полная занятость	Деловая переписка_Деловая коммуникация_Работа в команде_ЕСКД_MS Office_Ведение переговоров_Ориентация на результат	False	РЭС ИНЖИНИРИНГ	45000.0	50000.0	False	RUR
False	Водитель-экспедитор категории C,E	False	Омск	55.005475	73.206605	Омск, 2-я Солнечная улица, 44/4	От 3 до 6 лет	Полный день	Полная занятость	Мобильность_Пользователь ПК_Водительское удостоверение категории B_Знание устройства автомобиля_Работа в команде	False	АвтоОмск	120000.0	140000.0	True	RUR
False	Руководитель автосервиса / Исполнительный директор	False	Якутск	62.04663	129.727471	Якутск, Ленская улица, 3	От 3 до 6 лет	Полный день	Полная занятость	Работа в команде_Организаторские навыки_Умение работать в режиме многозадачности_Умение добиваться поставленных целей_Многозадачность_Способность быстро обучаться_Навыки разрешения спорных ситуаций_Организация и планирование рабочего времени_Управление персоналом	False	Автосервис StoPro	100000.0		True	RUR
False	Менеджер по оптимизации бизнес-процессов	False	Санкт-Петербург	60.066994	30.333951	Санкт-Петербург, 2 линия	От 1 года до 3 лет	Полный день	Полная занятость	Креативность_Аналитические способности	False	585, Золотой		100000.0	False	RUR
