premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Графический дизайнер	True	Санкт-Петербург	59.937053	30.380107	Санкт-Петербург, 10-я Советская улица, 8	От 3 до 6 лет	Полный день	Полная занятость		False	ICON, студия дизайна	55000	60000	False	RUR
False	Оператор 1C	False	Люберцы	55.70147	37.883626	Люберцы, улица 8 Марта, 16	От 1 года до 3 лет	Полный день	Полная занятость	Документооборот_Грамотная речь_Деловая переписка_Первичные документы_1С: Предприятие 8	False	Пайпсистемс	30000	50000	False	RUR
False	Главный специалист по информационной безопасности	False	Москва	55.781362	37.562074	Москва, Беговая аллея, 9А	От 1 года до 3 лет	Полный день	Полная занятость	Работа с большим объемом информации_MS PowerPoint_Аналитическое мышление_Трудовое законодательство РФ_Организация благотворительных мероприятий	False	Группа компаний МЕДСИ	50000		True	RUR
False	Младший риск-аналитик	False	Санкт-Петербург	59.941862	30.275174	Санкт-Петербург, Средний проспект Васильевского острова, 38к1	Нет опыта	Полный день	Полная занятость	Работа с большим объемом информации_Обучение и развитие_MS Outlook_MS PowerPoint_Планирование карьеры_кредитные риски_Оценка рисков_Анализ рисков_Аналитические навыки	False	Альфа-Лизинг	40500		True	RUR
False	Программист 1С	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	1С программирование_1С: Управление Торговлей_1С: Зарплата и управление персоналом_1С: Бухгалтерия_Техническая поддержка_1С: УНФ_1С: Управление сервисным центром	False	Акватерм	200000		False	RUR
False	Аналитик по регламентированному учету в 1С	False	Москва	55.825275	37.499857	Москва, Старопетровский проезд, 7А	От 1 года до 3 лет	Полный день	Полная занятость		False	Первый Бит	80000		True	RUR
False	Водитель наладчик пивного оборудования	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Работа в команде_Работа с людьми	False	Сикорская Мария Николаевна	55000	60000	False	RUR
False	Оператор наладчик станков ЧПУ	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Работа в команде_Грамотность_Проведение опросов клиентов_Оформление возврата продукции	False	Фобос+	80000		True	RUR
False	Аналитик Управления информационных технологий	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	Опытный пользователь ПК_Excel	False	Министерство транспорта и дорожной инфраструктуры Московской области	30000	40000	False	RUR
False	Старший инженер-программист 1С	False	Москва	55.835387	37.494566	Москва, улица Адмирала Макарова, 6с2	От 1 года до 3 лет	Полный день	Полная занятость	1С программирование_1С: Предприятие 8_1С: Документооборот_1С: Предприятие: Управление строительной организацией	False	Публично-Правовая Компания Военно-Строительная Компания	200000		True	RUR
