premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Графический дизайнер	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Стиль_Дизайн полиграфии_Навыки межличностного общения_amoCRM_Оценка потребностей клиентов	False	Promo-Chips	50000	80000	False	RUR
False	Помощник тестировщика	True	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	Тестирование_HTML_Функциональное тестирование_Test case_Git_Тестирование пользовательского интерфейса_QA_Проведение тестирований_Аналитическое мышление_Bug Reporting_Ручное тестирование_Работа в команде_Пользователь ПК	False	101 Интернет	20000	25000	False	RUR
False	Data Scientist	False		0.0	0.0	Санкт-Петербург, Малоохтинский проспект, 64	От 1 года до 3 лет	Полный день	Полная занятость	SQL_Математическая статистика_Spark_MS PowerPoint_Python_Hive_Big Data_Data Analysis_Анализ данных_Математическое моделирование_Hadoop	False	Банк Санкт-Петербург		105000	True	RUR
False	Инженер технической поддержки / HELPDESK	False	Москва	55.629531	37.633194	Москва, Кавказский бульвар, 58с1	От 1 года до 3 лет	Полный день	Полная занятость	Windows 7_Active Directory_TCP/IP_Windows Os_Helpdesk_Техническая поддержка_Сопровождение ПО_Поддержка пользователей	False	Фирменный Торговый Дом Царицыно		70000	True	RUR
False	Ведущий менеджер по проектам	False	Челябинск	55.137579	61.403694	Челябинск, улица Доватора, 1г	От 1 года до 3 лет	Полный день	Полная занятость	Проведение презентаций_Ведение переговоров_Анализ рынка_Маркетинговый анализ_Аналитические исследования_MS PowerPoint	False	РОС-электро	80000	250000	False	RUR
False	Токарь	False	Подольск	55.431136	37.544997	Подольск	От 3 до 6 лет	Полный день	Полная занятость	Работа на станке 16К20 или МК6058_3 разряд и выше	False	МОБИПРОФ	50000		False	RUR
False	Контент-редактор	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Adobe Photoshop_MS PowerPoint_Написание статей_Написание текстов_Обучение и развитие	False	Конгресс-отель Ареал	60000		False	RUR
False	Системный администратор 1 категории	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость		False	Объединенная Энергетическая Компания	100000		False	RUR
False	Инженер-программист (направление – разработка и сопровождение CMS-сайтов и сопровождения веб-сервера	False	Краснодар	45.035037	39.092759	Краснодар, Сормовская улица, 167	От 1 года до 3 лет	Полный день	Полная занятость	CMS Wordpress_PHP_MySQL_moodle_Drupal API	False	Государственное бюджетное Образовательное учреждение Дополнительного Профессионального Образования Институт Развития Образования Краснодарского Края	33000	36000	True	RUR
False	Техник по ремонту банкоматов/Сервисный инженер	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	Ремонт ПК_Сборка ПК_Настройка сетевых подключений_Техническое обслуживание_Настройка ПК	False	ЛАНИТ	30000	60000	False	RUR
False	Токарь-универсал	False	Нижний Новгород	56.312685	43.950848	Нижний Новгород, улица Интернациональная, 100	От 3 до 6 лет	Полный день	Полная занятость		False	Горьковский завод аппаратуры связи им. А.С. Попова	50000		True	RUR
