premium	name	response_letter_required	city	latitude	longtitude	raw	experience	schedule	employment	skills	has_test	employer	salary_from	salary_to	gross	currency
False	Инженер-механик	False	Саратов	51.586246	46.036628	Саратов, посёлок Мирный, 4-я Окольная улица, 15	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Ремонтные работы_Технический контроль производства_Техническое обслуживание_Контроль исправности оборудования_Слесарные работы	False	ПечатникЪ		40000	False	RUR
False	Токарь (ДИП 300, ДИП 500)	False	Санкт-Петербург	59.886912	30.282702	Санкт-Петербург, улица Трефолева, 2БМ	Более 6 лет	Полный день	Полная занятость		False	Взлет, ГК	60000		False	RUR
False	Оператор видеонаблюдения	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	Лояльность_Знание Microsoft Office_Внимательность к деталям, способность работать с большими массивами информации_Стабильность_Принципиальность_Умение анализировать_Объективность_Системы видеонаблюдения_Расстановка приоритетов_Опытный пользователь ПК	True	Сократ - Юг	25000	31750	False	RUR
False	Инженер по сервисному обслуживанию банковского оборудования	False	N/A	N/A	N/A	N/A	Нет опыта	Полный день	Полная занятость	Настройка ПО_Выездное обслуживание_Установка ОС_Сервисное обслуживание_Техническое обслуживание_Работа с банками_Ремонт оборудования	True	АТМ АЛЬЯНС	45000		False	RUR
False	Оператор станков с ЧПУ	False	Ижевск	56.844082	53.187856	Ижевск, Ленинский район, проезд имени Дерябина	От 1 года до 3 лет	Полный день	Полная занятость	Internet_Поиск информации в интернет_Умение принимать решения_Станки ЧПУ_Навыки составления отчетности	False	АСВ Технологии	42000		False	RUR
False	Оператор станков с программным управлением	False	Воронеж	51.739698	39.301491	Воронеж, Планетная улица, 26	От 1 года до 3 лет	Полный день	Полная занятость	MS Dos_Станки ЧПУ_программное управление_обслуживание оборудования_станки с программным управлением_рабочий_наладчик_Токарные станки_Токарь_наладчик оборудования_фрезерные станки_металлообработка_оператор станков_токарь_фрезеровщик_шлифовщик_электроэрозионист	False	Синоштамп	55000	70000	True	RUR
False	Системный администратор	False	Воронеж	51.662697	39.165747	Воронеж, улица Пирогова, 72А/1	От 3 до 6 лет	Полный день	Полная занятость	Работа с юридическими лицами_ПК_Локальные сети_TCP/IP_Диагностика ПК_Windows Server_FreePBX_Zabbix_Mikrotik	False	Сфера	50000	60000	False	RUR
False	Шлифовщик/круглая шлифовка (механика)	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость		False	Вертикаль. Центр подбора персонала	55000	70000	False	RUR
False	Senior PHP Developer (Germany, Kaiserslauter)	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	PHP_Laravel_Apache_PostgreSQL_JavaScript_C#_Английский_AWS_Azure	False	Alex Staff Agency	4600	6700	True	EUR
False	Продукт-менеджер	False	Воронеж	51.688578	39.13754	Воронеж, улица 45-й Стрелковой Дивизии, 261А	От 1 года до 3 лет	Полный день	Полная занятость	Английский язык_MS PowerPoint_Internet_Подготовка отчетов_Google Chrome	False	ОФИСМАГ	86600	113600	True	RUR
False	Начальник автоколонны	False	населённый пункт 3307 километр	54.999	82.536696	населённый пункт 3307 километр	От 3 до 6 лет	Полный день	Полная занятость	Знание устройства автомобиля_1С: УАТ_Планирование_Аналитическое мышление_Мотивация персонала_Требовательность_Транспортная логистика_Управление автопарком грузовых автомобилей	False	Монетка, Торговая сеть	80000		False	RUR
False	Инженер сопровождения ИТ систем (команда S2B delivery SberDevices)	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	Linux_Python_Bash_Zabbix_Kubernetes	False	СБЕР		220000	True	RUR
False	Инженер на первую линию поддержки пользователей	False	Казань	55.78439	49.12076	Казань, улица Марселя Салимжанова, 1	От 1 года до 3 лет	Полный день	Полная занятость	Математика_Service Desk_OC Windows_Excel_Знание офисных программ_Точность и внимательность к деталям_Работа в условиях многозадачности_Умение адаптироваться	False	ТатАИСЭнерго		42000	False	RUR
False	Фрезеровщик	False	Великий Новгород	58.540822	31.268226	Великий Новгород, Софийская сторона, Великая улица, 22	От 1 года до 3 лет	Полный день	Полная занятость	Mathcad_Чтение чертежей_Compass 3D_Материальная ответственность	False	Новтехмаш	50000		True	RUR
False	Директор (инжиниринг, электротехническое оборудование)	False	N/A	N/A	N/A	N/A	Более 6 лет	Полный день	Полная занятость	Управление проектами_Ведение переговоров_Организаторские навыки_Контроль качества_Электротехнические работы_Высшее образование_Проектная деятельность_Организация производства_Стратегическое мышление_Производственный контроль_Управленческие навыки_Планирование_Производственное планирование_Системное мышление_Управление процессами	False	Апрайт	150000		False	RUR
False	Токарь	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Точность и внимательность к деталям_Умение планировать	False	Стартафф	110000		False	RUR
False	Специалист установщик оборудования Omnicomm	False	Железногорск	52.341531	35.37297	Железногорск, Черняковский проезд, 12	От 1 года до 3 лет	Полный день	Полная занятость	Монтаж оборудования_Техническое обслуживание_Знание устройства автомобиля_Ремонтные работы_Пользователь ПК	False	Омникомм-Профи	40000		False	RUR
False	Наладчик станков и манипуляторов с программным управлением (фрезерная и токарная группы)	False	Ижевск	56.831329	53.269459	Ижевск, улица Орджоникидзе, 2	От 1 года до 3 лет	Полный день	Полная занятость	Работа в команде_Умение организовать работу_Ответственность и пунктуальность_Рассудительность_Умение читать чертежи	False	Ижнефтемаш	50000		True	RUR
False	Оператор станка с ЧПУ	False	Екатеринбург	56.88046	60.631287	Екатеринбург, микрорайон Эльмаш, улица Фронтовых Бригад, 18	От 3 до 6 лет	Полный день	Полная занятость	Способность обучать других_CorelDRAW_Станки ЧПУ_Точность и внимательность к деталям_Лазерная техника	False	ТНМК	60000	70000	False	RUR
False	Системный администратор	False	Екатеринбург	56.81971	60.662719	Екатеринбург, Сибирский тракт, 26	От 1 года до 3 лет	Полный день	Полная занятость	Linux_Администрирование_Windows Server 2003_Windows 7_Active Directory_Cisco	False	Автомобильный Холдинг Оками	65000		False	RUR
False	Тестировщик / QA Engineer	False	Томск	56.46451	84.984812	Томск, проспект Кирова, 58	От 1 года до 3 лет	Полный день	Полная занятость	Аналитическое мышление_Работа в команде_Функциональное тестирование_Тестирование пользовательского интерфейса	False	ilink	30000	80000	False	RUR
False	Инженер-программист	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	MATLAB_C++_C#_Математическое моделирование_баллистические расчеты_3D Моделирование_Разработка программных моделей_бортовые схемы_программист_разработка программного обеспечения	False	Российские космические системы	65000		True	RUR
False	Ведущий инженер группы управления коммутационных сетей	False	Симферополь	44.948856	34.093886	Симферополь, улица Героев Аджимушкая, 9	От 3 до 6 лет	Полный день	Полная занятость		False	Миранда-медиа	50000		False	RUR
False	Токарь-расточник	False	Набережные Челны	55.723567	52.541167	Набережные Челны, Моторная улица, 38	От 1 года до 3 лет	Полный день	Полная занятость		False	ПТФК ЗТЭО	80000		False	RUR
False	Механик по выпуску автотранспорта	False	N/A	N/A	N/A	N/A	От 1 года до 3 лет	Полный день	Полная занятость	Техническое обслуживание_Пользователь ПК_Ремонтные работы_Материальная ответственность_1С: Склад	False	СТК ИНВЕСТ	50000		True	RUR
False	Главный механик	False	Москва	55.772178	37.659883	Москва, Новорязанская улица, 16/11с1	От 3 до 6 лет	Полный день	Полная занятость	Пользователь ПК_Заключение договоров_Ответственность_Ведение отчетности_Ведение документации_Организаторские навыки_Документальное сопровождение_Пассажирский транспорт_Работа с оргтехникой	False	ГК ПАРТНЁР	70000	70000	False	RUR
False	Инженер- монтажник	False	Тобольск	58.200891	68.253995	Тобольск	Нет опыта	Полный день	Полная занятость		False	МТС	45000		True	RUR
False	Наладчик технологического оборудования	False	Электросталь	55.775454	38.472679	Электросталь, Рабочая улица, 35А	От 3 до 6 лет	Полный день	Полная занятость	Технический контроль производства_Производственный контроль_Ввод в эксплуатацию	False	Экотекс	60000		False	RUR
False	Оператор автоматического оборудования (координатных устройств)	False	Обнинск	55.128428	36.638211	Обнинск, Киевское шоссе, 82	От 1 года до 3 лет	Полный день	Полная занятость	Пользователь ПК_Станки ЧПУ_AutoCAD_Impact_Графические редакторы_Компас 3D	False	«РАСТР—технология»	50000		False	RUR
False	Специалист по внедрению/Программист 1С	False	Липецк	52.600179	39.587748	Липецк, улица Барашева, 1	От 1 года до 3 лет	Полный день	Полная занятость		False	Смарт Систем	80000		False	RUR
False	Системный администратор	False	Челябинск	55.148472	61.368948	Челябинск, улица Худякова, 12к1	От 1 года до 3 лет	Полный день	Полная занятость	Администрирование серверов Windows_Linux_Администрирование серверов Linux_Windows 7_Администрирование сетевого оборудования	False	Группа компаний НГ-сервис	60000		False	RUR
False	Специалист службы информационной и экономической безопасности	False	Челябинск	55.158549	61.468086	Челябинск, проспект Ленина, 3	От 1 года до 3 лет	Полный день	Полная занятость	Информационные технологии_Информационная безопасность_Windows 7_HTML_Локальные сети	False	Технопарк Тракторозаводский	30000		False	RUR
False	Руководитель IT проектов	False	Хабаровск	48.481101	135.083972	Хабаровск, улица Постышева, 22А	От 3 до 6 лет	Полный день	Полная занятость	Работа в команде_Управление проектами_Проектная работа_Проектная деятельность_Системность_Ориентация на результат_Тайм-менеджмент_Умение расставлять приоритеты_Способность принимать решения_Умение организовать работу_Управление персоналом_Работа с большим объемом информации_Аналитический склад ума	False	Первый Бит	150000		True	RUR
False	Главный специалист по разработке (программист 1С)	False	Кемерово	55.33044	86.057077	Кемерово, Кузнецкий проспект, 121А	От 1 года до 3 лет	Полный день	Полная занятость	1С программирование_1С: Зарплата и управление персоналом_1С: Управление Производственным Предприятием_1С: Предприятие 8_1С: Документооборот	False	Стройсервис (Группа предприятий)	236000		True	RUR
False	Программист 1С (внутренняя автоматизация)	False	N/A	N/A	N/A	N/A	От 3 до 6 лет	Полный день	Полная занятость	1С программирование_1С: Предприятие 8_1С: Управление Торговлей_Автоматизация_СКД_1С: Бухгалтерия предприятия_Оптимизация запросов	False	ГЭНДАЛЬФ	120000		True	RUR
False	Помощник Project Manager'а / помощник интернет-маркетолога	False	Новосибирск	55.039925	82.96248	Новосибирск, улица Фрунзе, 242	Нет опыта	Полный день	Полная занятость	Google Analytics_Adobe Photoshop_MS PowerPoint_Яндекс.Метрика_Поиск информации в интернет	False	Компания Intelsib	25000	30000	False	RUR
